id,taCode,Date,time
0000000796,255,3-12-21,15:0
0000000758,255,3-12-21,15:1
0000000764,255,3-12-21,15:2
0000000735,255,3-12-21,15:4
0000000278,255,3-12-21,16:0
0000006135,255,3-12-21,16:0
0000000865,255,3-12-21,16:0
0000000563,255,3-12-21,16:1
0000000929,255,3-12-21,16:1
0000000734,255,3-12-21,16:1
0000000927,255,3-12-21,16:1
0000000801,255,3-12-21,16:1
0000006164,255,3-12-21,16:2
0000000855,255,3-12-21,16:2
0000000121,255,3-12-21,16:3
0000000896,255,3-12-21,16:5
0000000832,255,3-12-21,16:8
0000006129,255,3-12-21,16:8
0000006168,255,3-12-21,16:9
0000001263,255,3-12-21,16:10
0000000582,255,3-12-21,16:11
0000000905,255,3-12-21,16:12
0000000029,255,3-12-21,16:14
0000006142,255,3-12-21,16:21
0000000366,255,3-12-21,16:31
0000000783,255,3-12-21,17:17
0000000917,255,3-12-21,19:18
0000000918,255,3-12-21,19:27
0000000764,255,6-12-21,6:58
0000000278,255,6-12-21,7:6
0000000929,255,6-12-21,7:32
0000000928,255,6-12-21,7:37
0000000121,255,6-12-21,7:39
0000000801,255,6-12-21,7:48
0000000783,255,6-12-21,7:54
0000009940,255,6-12-21,8:4
0000000917,255,6-12-21,8:4
0000000927,255,6-12-21,8:5
0000006168,255,6-12-21,8:8
0000000796,255,6-12-21,15:0
0000000758,255,6-12-21,15:1
0000000764,255,6-12-21,15:2
0000006103,255,6-12-21,15:44
0000006164,255,6-12-21,15:44
0000000278,255,6-12-21,16:0
0000002947,255,6-12-21,16:0
0000000409,255,6-12-21,16:0
0000006135,255,6-12-21,16:0
0000000865,255,6-12-21,16:0
0000000702,255,6-12-21,16:0
0000000563,255,6-12-21,16:0
0000000929,255,6-12-21,16:1
0000000905,255,6-12-21,16:1
0000000928,255,6-12-21,16:1
0000000855,255,6-12-21,16:1
0000000927,255,6-12-21,16:1
0000009940,255,6-12-21,16:1
0000009940,255,6-12-21,16:2
0000003069,255,6-12-21,16:2
0000000701,255,6-12-21,16:2
0000006123,255,6-12-21,16:3
0000000721,255,6-12-21,16:3
0000002570,255,6-12-21,16:4
0000000896,255,6-12-21,16:4
0000000735,255,6-12-21,16:4
0000000734,255,6-12-21,16:8
0000000832,255,6-12-21,16:15
0000006168,255,6-12-21,16:21
0000006150,255,6-12-21,17:0
0000000366,255,6-12-21,17:46
0000006142,255,6-12-21,18:8
0000000917,255,6-12-21,21:23
0000000918,255,6-12-21,21:47
0000000919,255,6-12-21,22:10
