id,taCode,Date,time
0000000919,255,19-11-21,15:22
0000000278,255,19-11-21,16:0
0000002947,255,19-11-21,16:0
0000000599,255,19-11-21,16:0
0000000764,255,19-11-21,16:0
0000000865,255,19-11-21,16:0
0000006141,255,19-11-21,16:0
0000006135,255,19-11-21,16:0
0000006164,255,19-11-21,16:0
0000000836,255,19-11-21,16:0
0000006103,255,19-11-21,16:1
0000000927,255,19-11-21,16:1
0000000563,255,19-11-21,16:1
0000006100,255,19-11-21,16:1
0000000905,255,19-11-21,16:1
0000000735,255,19-11-21,16:1
0000003069,255,19-11-21,16:1
0000006142,255,19-11-21,16:2
0000000734,255,19-11-21,16:4
0000000363,255,19-11-21,16:6
0000000366,255,19-11-21,16:6
0000000721,255,19-11-21,16:7
0000000855,255,19-11-21,16:11
0000000771,255,19-11-21,16:21
0000006144,255,19-11-21,16:40
0000000582,255,19-11-21,16:46
0000000121,255,19-11-21,16:47
0000006137,255,19-11-21,17:5
0000000917,255,19-11-21,19:3
0000000918,255,19-11-21,22:54
0000000916,255,19-11-21,23:10
0000000278,255,22-11-21,7:28
0000000929,255,22-11-21,7:33
0000000928,255,22-11-21,7:33
0000000764,255,22-11-21,7:56
0000000524,255,22-11-21,8:3
0000006168,255,22-11-21,8:3
0000000783,255,22-11-21,8:3
0000009940,255,22-11-21,8:4
0000000927,255,22-11-21,8:29
0000000278,255,22-11-21,16:0
0000000599,255,22-11-21,16:0
0000002947,255,22-11-21,16:0
0000000929,255,22-11-21,16:1
0000000928,255,22-11-21,16:1
0000000865,255,22-11-21,16:1
0000000927,255,22-11-21,16:1
0000000563,255,22-11-21,16:2
0000000702,255,22-11-21,16:2
0000003069,255,22-11-21,16:2
0000006100,255,22-11-21,16:2
0000000764,255,22-11-21,16:2
0000006141,255,22-11-21,16:2
0000000896,255,22-11-21,16:3
0000000792,255,22-11-21,16:3
0000006129,255,22-11-21,16:3
0000006103,255,22-11-21,16:4
0000000836,255,22-11-21,16:5
0000000771,255,22-11-21,16:5
0000006164,255,22-11-21,16:5
0000000832,255,22-11-21,16:5
0000000760,255,22-11-21,16:5
0000006135,255,22-11-21,16:5
0000000734,255,22-11-21,16:6
0000006142,255,22-11-21,16:6
0000000905,255,22-11-21,16:8
0000000735,255,22-11-21,16:9
0000001263,255,22-11-21,16:9
0000009940,255,22-11-21,16:10
0000006137,255,22-11-21,16:12
0000000668,255,22-11-21,16:14
0000000698,255,22-11-21,16:36
0000000121,255,22-11-21,16:42
0000006147,255,22-11-21,16:42
0000000783,255,22-11-21,16:59
0000000029,255,22-11-21,17:34
0000006150,255,22-11-21,19:11
0000000919,255,22-11-21,21:36
0000000916,255,22-11-21,22:20
0000000764,255,23-11-21,7:16
0000000278,255,23-11-21,7:24
0000000928,255,23-11-21,7:25
0000000928,255,23-11-21,7:25
0000000929,255,23-11-21,7:34
0000000927,255,23-11-21,7:57
0000009940,255,23-11-21,8:0
0000000783,255,23-11-21,8:0
0000000917,255,23-11-21,8:18
