id,taCode,Date,time
0000001448,1,29-11-21,5:47
0000001446,1,29-11-21,5:47
0000001286,1,29-11-21,5:48
0000009061,1,29-11-21,5:48
0000009075,1,29-11-21,5:51
0000001447,1,29-11-21,5:52
0000009067,1,29-11-21,5:55
0000009017,1,29-11-21,5:55
0000001187,1,29-11-21,5:55
0000001185,1,29-11-21,5:56
0000009021,1,29-11-21,5:57
0000009040,1,29-11-21,5:57
0000001356,1,29-11-21,5:57
0000001271,1,29-11-21,6:3
0000005312,1,29-11-21,6:4
0000005481,1,29-11-21,6:5
0000009064,1,29-11-21,6:6
0000001375,1,29-11-21,6:6
0000005479,1,29-11-21,6:7
0000000615,1,29-11-21,6:7
0000001267,1,29-11-21,6:8
0000005494,1,29-11-21,6:8
0000005560,1,29-11-21,6:9
0000008036,1,29-11-21,6:9
0000009062,1,29-11-21,6:13
0000009060,1,29-11-21,6:13
0000009072,1,29-11-21,6:13
0000009080,1,29-11-21,6:14
0000009012,1,29-11-21,6:14
0000001434,1,29-11-21,6:15
0000009002,1,29-11-21,6:16
0000005484,1,29-11-21,6:17
0000008025,1,29-11-21,6:18
0000001019,1,29-11-21,6:18
0000001128,1,29-11-21,6:18
0000001426,1,29-11-21,6:20
0000001382,1,29-11-21,6:20
0000005544,1,29-11-21,6:21
0000000849,1,29-11-21,6:21
0000009073,1,29-11-21,6:21
0000001173,1,29-11-21,6:22
0000005554,1,29-11-21,6:22
0000009068,1,29-11-21,6:23
0000001415,1,29-11-21,6:23
0000009063,1,29-11-21,6:24
0000000898,1,29-11-21,6:24
0000005561,1,29-11-21,6:24
0000001266,1,29-11-21,6:24
0000008023,1,29-11-21,6:25
0000005470,1,29-11-21,6:25
0000009070,1,29-11-21,6:25
0000005006,1,29-11-21,6:26
0000001337,1,29-11-21,6:26
0000001457,1,29-11-21,6:27
0000001438,1,29-11-21,6:27
0000008039,1,29-11-21,6:28
0000001302,1,29-11-21,6:28
0000009011,1,29-11-21,6:29
0000008021,1,29-11-21,6:29
0000001379,1,29-11-21,6:29
0000003008,1,29-11-21,6:29
0000005376,1,29-11-21,6:29
0000001414,1,29-11-21,6:30
0000008022,1,29-11-21,6:30
0000005553,1,29-11-21,6:30
0000001410,1,29-11-21,6:31
0000008029,1,29-11-21,6:32
0000001429,1,29-11-21,6:33
0000005485,1,29-11-21,6:34
0000001432,1,29-11-21,6:35
0000005111,1,29-11-21,7:0
0000001132,1,29-11-21,7:0
0000000587,1,29-11-21,7:28
0000000407,1,29-11-21,7:30
0000005468,1,29-11-21,7:31
0000005482,1,29-11-21,8:43
0000006097,1,29-11-21,8:50
0000000824,1,29-11-21,8:54
0000001333,1,29-11-21,9:30
0000001336,3,29-11-21,10:8
0000005374,3,29-11-21,11:20
0000009073,3,29-11-21,11:29
0000005241,1,29-11-21,11:40
0000001458,3,29-11-21,11:47
0000001458,1,29-11-21,11:47
0000005462,1,29-11-21,11:48
0000005320,1,29-11-21,11:52
0000005363,1,29-11-21,11:52
0000001437,1,29-11-21,11:54
0000001425,1,29-11-21,11:59
0000005150,1,29-11-21,11:59
0000001357,3,29-11-21,12:0
0000001447,3,29-11-21,12:0
0000001340,3,29-11-21,12:0
0000009035,3,29-11-21,12:0
0000009029,3,29-11-21,12:0
0000009034,3,29-11-21,12:0
0000001448,3,29-11-21,12:0
0000005385,3,29-11-21,12:0
0000001454,3,29-11-21,12:1
0000001366,3,29-11-21,12:1
0000009031,3,29-11-21,12:1
0000001268,3,29-11-21,12:1
0000001461,3,29-11-21,12:1
0000000649,3,29-11-21,12:1
0000000534,3,29-11-21,12:1
0000005386,3,29-11-21,12:1
0000005368,3,29-11-21,12:1
0000009032,3,29-11-21,12:1
0000005479,3,29-11-21,12:2
0000005367,3,29-11-21,12:2
0000005371,3,29-11-21,12:2
0000005530,3,29-11-21,12:2
0000001311,3,29-11-21,12:2
0000001374,3,29-11-21,12:2
0000005569,3,29-11-21,12:2
0000001363,3,29-11-21,12:3
0000001294,3,29-11-21,12:3
0000005486,3,29-11-21,12:3
0000001313,3,29-11-21,12:3
0000001314,3,29-11-21,12:3
0000005529,3,29-11-21,12:4
0000001449,3,29-11-21,12:4
0000005537,3,29-11-21,12:5
0000005536,3,29-11-21,12:5
0000001446,3,29-11-21,12:7
0000005564,3,29-11-21,12:7
0000005366,3,29-11-21,12:7
0000001269,1,29-11-21,12:8
0000001460,3,29-11-21,12:9
0000001460,3,29-11-21,12:10
0000001392,3,29-11-21,12:33
0000001459,3,29-11-21,12:39
0000009048,3,29-11-21,12:39
0000009043,3,29-11-21,12:40
0000009056,3,29-11-21,12:40
0000009049,3,29-11-21,12:58
0000009044,3,29-11-21,12:59
0000009055,3,29-11-21,12:59
0000009047,3,29-11-21,12:59
0000005474,3,29-11-21,13:0
0000000651,3,29-11-21,13:1
0000009045,3,29-11-21,13:3
0000009026,3,29-11-21,13:5
0000005478,3,29-11-21,13:9
0000005111,3,29-11-21,13:10
0000001455,3,29-11-21,13:41
0000001356,3,29-11-21,14:0
0000009017,3,29-11-21,14:0
0000009021,3,29-11-21,14:0
0000009020,3,29-11-21,14:0
0000009040,3,29-11-21,14:0
0000001286,3,29-11-21,14:0
0000001377,3,29-11-21,14:1
0000001119,3,29-11-21,14:6
0000001187,3,29-11-21,14:7
0000001185,3,29-11-21,14:16
0000001347,3,29-11-21,14:30
0000001253,3,29-11-21,14:30
0000001415,3,29-11-21,14:30
0000000849,3,29-11-21,14:30
0000005544,3,29-11-21,14:30
0000009066,3,29-11-21,14:30
0000009074,3,29-11-21,14:30
