id,taCode,Date,time
0000002983,0,19-11-21,17:1
0000000813,3,19-11-21,17:3
0000002983,0,22-11-21,6:46
0000000813,1,22-11-21,7:4
0000002675,0,22-11-21,7:44
0000002929,1,22-11-21,8:39
0000002566,1,22-11-21,8:56
0000003093,1,22-11-21,9:4
0000002983,0,22-11-21,15:2
0000002675,0,22-11-21,15:28
0000000813,3,22-11-21,15:44
0000003093,3,22-11-21,17:0
0000002566,3,22-11-21,17:0
0000002929,3,22-11-21,17:1
0000002983,0,23-11-21,6:46
0000002675,0,23-11-21,6:48
0000000813,1,23-11-21,7:6
0000002929,1,23-11-21,8:43
0000003093,1,23-11-21,9:4
0000002566,1,23-11-21,9:11
0000002983,0,23-11-21,15:2
0000002675,0,23-11-21,15:8
0000000813,3,23-11-21,15:26
0000002566,3,23-11-21,17:1
0000002929,3,23-11-21,17:1
0000003093,3,23-11-21,17:4
0000002983,0,24-11-21,6:54
0000000813,1,24-11-21,7:9
0000002675,0,24-11-21,7:11
0000002929,1,24-11-21,8:41
0000003093,1,24-11-21,9:6
0000002566,1,24-11-21,9:28
0000002983,0,24-11-21,15:2
0000002675,0,24-11-21,15:5
0000000813,3,24-11-21,15:30
0000003093,3,24-11-21,17:0
0000002929,3,24-11-21,17:1
0000002566,3,24-11-21,17:1
0000002983,0,25-11-21,6:49
0000002675,0,25-11-21,7:0
0000000813,1,25-11-21,7:7
0000002929,1,25-11-21,8:44
0000003093,1,25-11-21,9:8
0000002566,1,25-11-21,9:8
0000002983,0,25-11-21,15:1
0000000813,3,25-11-21,15:6
0000002675,0,25-11-21,15:26
0000003093,3,25-11-21,17:1
0000002929,3,25-11-21,17:1
0000002566,3,25-11-21,17:3
0000002983,0,26-11-21,6:44
0000000813,1,26-11-21,7:3
0000002675,0,26-11-21,7:7
0000002929,1,26-11-21,8:41
0000002566,1,26-11-21,9:2
0000003093,1,26-11-21,9:3
0000002983,0,26-11-21,15:0
0000002675,0,26-11-21,15:3
0000000813,3,26-11-21,15:10
0000002929,3,26-11-21,17:0
0000002566,3,26-11-21,17:0
0000003093,3,26-11-21,17:2
0000002929,1,29-11-21,6:41
0000003093,1,29-11-21,7:9
0000002983,0,29-11-21,8:41
0000000813,1,29-11-21,9:6
0000002675,0,29-11-21,9:10
0000003093,3,29-11-21,15:0
0000002929,3,29-11-21,15:0
0000002566,3,29-11-21,15:1
0000002675,0,29-11-21,17:0
0000000813,1,29-11-21,17:1
0000002983,0,29-11-21,17:1
0000002929,1,30-11-21,6:48
0000000813,1,30-11-21,9:2
0000002675,0,30-11-21,9:10
0000002929,3,30-11-21,15:0
0000003093,3,30-11-21,15:1
0000002566,3,30-11-21,15:2
0000002675,0,30-11-21,17:3
0000000813,3,30-11-21,17:4
0000002929,1,1-12-21,6:46
0000003093,1,1-12-21,7:10
0000002566,1,1-12-21,7:13
0000000813,1,1-12-21,8:30
0000002675,0,1-12-21,9:16
0000002929,3,1-12-21,15:0
0000003093,3,1-12-21,15:2
0000002566,3,1-12-21,15:13
0000000813,3,1-12-21,17:0
0000002675,0,1-12-21,17:15
0000002929,1,2-12-21,6:47
0000000813,1,2-12-21,7:3
0000002675,0,2-12-21,8:47
0000000813,1,2-12-21,15:0
0000000813,3,2-12-21,15:1
0000000813,3,2-12-21,15:1
0000002929,3,2-12-21,15:1
0000002675,0,2-12-21,17:10
0000002929,1,3-12-21,6:45
0000002929,1,3-12-21,6:45
0000000813,1,3-12-21,7:3
0000002675,0,3-12-21,9:16
0000002929,3,3-12-21,15:3
0000002566,3,3-12-21,15:6
0000002983,0,6-12-21,6:44
0000002675,0,6-12-21,6:58
0000002929,1,6-12-21,8:35
0000002566,1,6-12-21,9:1
0000003093,1,6-12-21,9:3
0000002983,0,6-12-21,15:20
0000002675,0,6-12-21,15:49
0000003093,3,6-12-21,17:0
0000002929,3,6-12-21,17:0
0000002566,3,6-12-21,17:0
0000002983,0,7-12-21,6:51
0000002675,0,7-12-21,6:57
0000002929,1,7-12-21,8:44
0000003093,1,7-12-21,8:53
0000002566,1,7-12-21,9:9
0000003093,3,7-12-21,12:0
0000002929,3,7-12-21,12:1
0000002566,3,7-12-21,12:1
0000002983,0,7-12-21,12:1
0000002675,0,7-12-21,15:0
0000002983,0,9-12-21,6:52
0000002675,0,9-12-21,7:4
0000003093,1,9-12-21,8:35
0000002929,1,9-12-21,8:51
0000002566,1,9-12-21,9:6
0000002983,0,9-12-21,15:1
0000002675,0,9-12-21,15:13
0000002929,3,9-12-21,17:0
0000003093,3,9-12-21,17:0
0000002566,3,9-12-21,17:1
0000002675,0,10-12-21,6:47
0000002983,0,10-12-21,6:53
0000002929,1,10-12-21,8:46
0000002566,1,10-12-21,9:2
0000003093,1,10-12-21,9:5
0000002983,0,10-12-21,15:3
0000002675,0,10-12-21,15:29
0000002566,3,10-12-21,17:0
0000002929,3,10-12-21,17:0
0000003093,3,10-12-21,17:0
0000003093,1,13-12-21,7:4
0000002566,1,13-12-21,7:10
0000002983,0,13-12-21,8:46
0000000813,1,13-12-21,9:13
0000002675,0,13-12-21,9:13
