id,taCode,Date,time
0000000865,255,29-11-21,16:0
0000006141,255,29-11-21,16:0
0000000409,255,29-11-21,16:0
0000000905,255,29-11-21,16:0
0000006164,255,29-11-21,16:0
0000000928,255,29-11-21,16:1
0000000121,255,29-11-21,16:1
0000000929,255,29-11-21,16:1
0000000735,255,29-11-21,16:1
0000000702,255,29-11-21,16:2
0000000563,255,29-11-21,16:2
0000006100,255,29-11-21,16:2
0000000758,255,29-11-21,16:3
0000000836,255,29-11-21,16:3
0000000927,255,29-11-21,16:3
0000000855,255,29-11-21,16:3
0000000809,255,29-11-21,16:3
0000000721,255,29-11-21,16:4
0000006135,255,29-11-21,16:4
0000000701,255,29-11-21,16:4
0000002570,255,29-11-21,16:4
0000002947,255,29-11-21,16:4
0000000832,255,29-11-21,16:5
0000006147,255,29-11-21,16:6
0000000771,255,29-11-21,16:6
0000006142,255,29-11-21,16:8
0000006168,255,29-11-21,16:12
0000000278,255,29-11-21,16:12
0000000029,255,29-11-21,16:13
0000000363,255,29-11-21,16:14
0000000366,255,29-11-21,16:24
0000003069,255,29-11-21,16:30
0000000783,255,29-11-21,16:48
0000000918,255,29-11-21,19:25
0000000919,255,29-11-21,19:25
0000000764,255,30-11-21,6:55
0000000929,255,30-11-21,7:58
0000000927,255,30-11-21,7:58
0000000783,255,30-11-21,8:2
0000000919,255,30-11-21,9:50
0000000278,255,30-11-21,16:0
0000000796,255,30-11-21,16:0
0000000865,255,30-11-21,16:0
0000002947,255,30-11-21,16:0
0000000409,255,30-11-21,16:0
0000000702,255,30-11-21,16:0
0000006135,255,30-11-21,16:0
0000000764,255,30-11-21,16:1
0000000927,255,30-11-21,16:1
0000000929,255,30-11-21,16:1
0000006164,255,30-11-21,16:2
0000006111,255,30-11-21,16:2
0000006147,255,30-11-21,16:2
0000000809,255,30-11-21,16:2
0000000896,255,30-11-21,16:3
0000000832,255,30-11-21,16:3
0000000758,255,30-11-21,16:4
0000000905,255,30-11-21,16:5
0000002570,255,30-11-21,16:5
0000000771,255,30-11-21,16:6
0000006142,255,30-11-21,16:6
0000000855,255,30-11-21,16:12
0000000734,255,30-11-21,16:12
0000000735,255,30-11-21,16:12
0000006129,255,30-11-21,16:13
0000006168,255,30-11-21,16:13
0000006144,255,30-11-21,16:15
0000000582,255,30-11-21,16:17
0000000029,255,30-11-21,16:19
0000000918,255,30-11-21,18:18
0000000916,255,30-11-21,18:19
0000000919,255,30-11-21,19:17
0000000919,255,30-11-21,19:27
0000000929,255,1-12-21,7:5
0000000764,255,1-12-21,7:20
0000000278,255,1-12-21,7:35
0000000927,255,1-12-21,7:40
0000000801,255,1-12-21,7:52
0000000783,255,1-12-21,8:3
0000006168,255,1-12-21,8:6
0000000917,255,1-12-21,8:7
