id,taCode,Date,time
0000000550,1,13-12-21,11:30
0000001392,3,13-12-21,11:31
0000001456,1,13-12-21,11:38
0000003056,1,13-12-21,11:39
0000005498,1,13-12-21,11:43
0000001310,1,13-12-21,11:49
0000005347,2,13-12-21,11:51
0000009018,3,13-12-21,11:52
0000001396,1,13-12-21,11:55
0000005551,1,13-12-21,11:56
0000005465,1,13-12-21,11:57
0000005459,3,13-12-21,12:0
0000001411,1,13-12-21,12:0
0000001421,3,13-12-21,12:0
0000005284,3,13-12-21,12:0
0000001352,3,13-12-21,12:0
0000005455,3,13-12-21,12:0
0000005563,3,13-12-21,12:0
0000005571,3,13-12-21,12:1
0000009006,3,13-12-21,12:1
0000001424,3,13-12-21,12:1
0000009031,3,13-12-21,12:1
0000001422,3,13-12-21,12:1
0000005547,3,13-12-21,12:1
0000005333,3,13-12-21,12:1
0000005236,3,13-12-21,12:1
0000005558,3,13-12-21,12:1
0000005572,3,13-12-21,12:2
0000009027,3,13-12-21,12:2
0000001378,3,13-12-21,12:2
0000000534,3,13-12-21,12:2
0000001443,3,13-12-21,12:2
0000009013,3,13-12-21,12:2
0000009025,3,13-12-21,12:2
0000001406,3,13-12-21,12:2
0000001373,3,13-12-21,12:3
0000005131,3,13-12-21,12:3
0000005131,3,13-12-21,12:3
0000005386,3,13-12-21,12:4
0000009022,3,13-12-21,12:9
0000005540,3,13-12-21,12:9
0000005373,3,13-12-21,12:19
0000003056,3,13-12-21,12:47
0000005524,3,13-12-21,13:3
0000009023,3,13-12-21,13:8
0000005145,3,13-12-21,13:9
0000009042,3,13-12-21,13:17
0000005100,1,13-12-21,13:32
0000009015,3,13-12-21,14:0
0000009039,3,13-12-21,14:1
0000001295,3,13-12-21,14:2
0000005557,3,13-12-21,14:30
0000008038,3,13-12-21,14:30
0000000626,3,13-12-21,14:30
0000001431,3,13-12-21,14:30
0000008028,3,13-12-21,14:30
0000001452,3,13-12-21,14:30
0000009046,3,13-12-21,14:30
0000001442,3,13-12-21,14:31
0000001436,3,13-12-21,14:31
0000001401,3,13-12-21,14:31
0000008040,3,13-12-21,14:31
0000008037,3,13-12-21,14:31
0000001463,3,13-12-21,14:31
0000001439,3,13-12-21,14:31
0000005534,3,13-12-21,14:31
0000005470,3,13-12-21,14:31
0000005376,3,13-12-21,14:31
0000008027,3,13-12-21,14:32
0000001390,3,13-12-21,14:32
0000008024,3,13-12-21,14:32
0000001440,3,13-12-21,14:32
0000005541,3,13-12-21,14:32
0000005312,3,13-12-21,14:32
0000008032,3,13-12-21,14:32
0000000615,3,13-12-21,14:32
0000001300,3,13-12-21,14:32
0000001416,3,13-12-21,14:32
0000005538,3,13-12-21,14:33
0000008020,3,13-12-21,14:33
