id,taCode,Date,time
0000000302,255,13-12-21,10:9
0000000786,255,13-12-21,13:1
0000000329,255,13-12-21,14:8
0000008087,255,13-12-21,14:33
0000008088,255,13-12-21,14:36
0000008084,255,13-12-21,14:36
0000008089,255,13-12-21,14:36
0000008082,255,13-12-21,14:37
0000006131,255,13-12-21,14:38
0000008081,255,13-12-21,14:39
0000008093,255,13-12-21,14:40
0000008083,255,13-12-21,14:48
0000008092,255,13-12-21,14:48
0000008090,255,13-12-21,14:48
0000008086,255,13-12-21,14:51
0000008085,255,13-12-21,14:58
0000000353,255,13-12-21,15:0
0000000799,255,13-12-21,15:0
0000000743,255,13-12-21,15:0
0000006156,255,13-12-21,15:0
0000000767,255,13-12-21,15:0
0000000915,255,13-12-21,15:1
0000005431,255,13-12-21,15:1
0000000781,255,13-12-21,15:2
0000001381,255,13-12-21,15:2
0000000789,255,13-12-21,15:2
0000001368,255,13-12-21,15:2
0000000780,255,13-12-21,15:7
0000006117,255,13-12-21,15:7
0000000825,255,13-12-21,15:16
0000000865,255,13-12-21,16:0
0000006141,255,13-12-21,16:0
0000000828,255,13-12-21,16:0
0000000526,255,13-12-21,16:0
0000006102,255,13-12-21,16:0
0000000810,255,13-12-21,16:0
0000008075,255,13-12-21,16:0
0000006100,255,13-12-21,16:0
0000000302,255,13-12-21,16:1
0000000930,255,13-12-21,16:1
0000002800,255,13-12-21,16:1
0000000648,255,13-12-21,16:2
0000000709,255,13-12-21,16:2
0000006174,255,13-12-21,16:2
0000000068,255,13-12-21,16:2
0000000910,255,13-12-21,16:2
0000000892,255,13-12-21,16:2
0000003024,255,13-12-21,16:2
0000000524,255,13-12-21,16:2
0000006092,255,13-12-21,16:3
0000000730,255,13-12-21,16:3
0000003019,255,13-12-21,16:3
0000006134,255,13-12-21,16:3
0000000761,255,13-12-21,16:3
0000000857,255,13-12-21,16:3
0000000643,255,13-12-21,16:4
0000006142,255,13-12-21,16:4
0000006122,255,13-12-21,16:4
0000000903,255,13-12-21,16:4
0000006148,255,13-12-21,16:5
0000000852,255,13-12-21,16:5
0000000642,255,13-12-21,16:5
0000000792,255,13-12-21,16:5
0000000861,255,13-12-21,16:5
0000000518,255,13-12-21,16:6
0000006120,255,13-12-21,16:6
0000006169,255,13-12-21,16:6
0000000519,255,13-12-21,16:6
0000006147,255,13-12-21,16:6
0000000689,255,13-12-21,16:7
0000006159,255,13-12-21,16:7
0000006121,255,13-12-21,16:8
0000000909,255,13-12-21,16:8
0000000911,255,13-12-21,16:9
0000000827,255,13-12-21,16:9
0000002992,255,13-12-21,16:9
0000000701,255,13-12-21,16:9
0000000894,255,13-12-21,16:10
0000003017,255,13-12-21,16:10
0000006099,255,13-12-21,16:11
0000006166,255,13-12-21,16:13
0000006157,255,13-12-21,16:13
0000008076,255,13-12-21,16:13
0000001391,255,13-12-21,16:14
0000000724,255,13-12-21,16:14
0000000843,255,13-12-21,16:15
0000006168,255,13-12-21,16:16
0000000552,255,13-12-21,16:17
0000000668,255,13-12-21,16:18
0000002799,255,13-12-21,16:19
0000000720,255,13-12-21,16:19
0000002973,255,13-12-21,16:20
0000000842,255,13-12-21,16:21
0000000808,255,13-12-21,16:22
0000000670,255,13-12-21,16:22
0000000038,255,13-12-21,16:22
0000001380,255,13-12-21,16:24
0000000811,255,13-12-21,16:26
0000000860,255,13-12-21,16:28
0000009969,255,13-12-21,16:28
0000000924,255,13-12-21,16:32
0000000925,255,13-12-21,16:35
0000000897,255,13-12-21,16:36
0000000608,255,13-12-21,16:37
0000009942,255,13-12-21,16:43
0000000593,255,13-12-21,16:47
0000006095,255,13-12-21,16:47
0000000698,255,13-12-21,16:54
0000003104,255,13-12-21,17:0
0000005954,255,13-12-21,17:3
0000006137,255,13-12-21,17:13
0000000907,255,13-12-21,17:22
0000006176,255,13-12-21,17:28
0000000900,255,13-12-21,17:29
0000009952,255,13-12-21,17:43
0000000807,255,13-12-21,18:1
0000000699,255,13-12-21,18:27
0000009954,255,13-12-21,18:28
0000000696,255,13-12-21,18:29
0000000680,255,13-12-21,19:12
0000000931,255,13-12-21,19:57
0000000329,255,13-12-21,22:4
0000000680,255,14-12-21,4:46
0000008087,255,14-12-21,5:13
0000000329,255,14-12-21,5:27
0000008084,255,14-12-21,5:29
0000008081,255,14-12-21,5:41
0000000800,255,14-12-21,5:53
0000000828,255,14-12-21,5:54
0000008088,255,14-12-21,5:57
0000008089,255,14-12-21,5:58
0000006164,255,14-12-21,5:58
0000008093,255,14-12-21,5:59
0000000780,255,14-12-21,6:0
0000008092,255,14-12-21,6:2
0000000802,255,14-12-21,6:3
0000008090,255,14-12-21,6:5
0000008082,255,14-12-21,6:8
0000008085,255,14-12-21,6:9
0000008083,255,14-12-21,6:19
0000008086,255,14-12-21,6:20
0000006141,255,14-12-21,6:21
0000000865,255,14-12-21,6:21
0000000799,255,14-12-21,6:26
0000006103,255,14-12-21,6:30
0000000912,255,14-12-21,6:31
0000000786,255,14-12-21,6:40
0000000796,255,14-12-21,6:40
0000000743,255,14-12-21,6:41
0000000825,255,14-12-21,6:42
0000000701,255,14-12-21,6:44
0000000915,255,14-12-21,6:48
0000000608,255,14-12-21,6:49
0000000599,255,14-12-21,6:51
0000000789,255,14-12-21,6:52
0000001391,255,14-12-21,6:53
0000000722,255,14-12-21,6:54
0000001380,255,14-12-21,6:55
0000001368,255,14-12-21,6:55
0000006091,255,14-12-21,6:58
0000001381,255,14-12-21,6:59
0000006133,255,14-12-21,6:59
0000000758,255,14-12-21,7:0
0000000764,255,14-12-21,7:0
0000006117,255,14-12-21,7:1
0000000353,255,14-12-21,7:3
0000006159,255,14-12-21,7:5
0000000698,255,14-12-21,7:7
0000000720,255,14-12-21,7:7
0000000913,255,14-12-21,7:7
0000000781,255,14-12-21,7:7
0000000908,255,14-12-21,7:9
0000000807,255,14-12-21,7:9
0000006144,255,14-12-21,7:13
0000000896,255,14-12-21,7:14
0000006134,255,14-12-21,7:19
0000000635,255,14-12-21,7:20
0000006102,255,14-12-21,7:24
0000000524,255,14-12-21,7:25
0000000706,255,14-12-21,7:27
0000000730,255,14-12-21,7:28
0000000900,255,14-12-21,7:30
0000002800,255,14-12-21,7:30
0000000930,255,14-12-21,7:31
0000000668,255,14-12-21,7:32
0000003024,255,14-12-21,7:33
0000000924,255,14-12-21,7:34
0000000631,255,14-12-21,7:35
0000006174,255,14-12-21,7:39
0000000864,255,14-12-21,7:40
0000009952,255,14-12-21,7:41
0000000121,255,14-12-21,7:41
0000000911,255,14-12-21,7:51
0000000842,255,14-12-21,7:51
0000000905,255,14-12-21,7:52
0000000573,255,14-12-21,7:52
0000008075,255,14-12-21,7:52
0000006148,255,14-12-21,7:52
0000000811,255,14-12-21,7:53
0000000809,255,14-12-21,7:53
0000002973,255,14-12-21,7:54
0000000810,255,14-12-21,7:54
0000000857,255,14-12-21,7:54
0000000773,255,14-12-21,7:54
0000000642,255,14-12-21,7:55
0000000677,255,14-12-21,7:56
0000000029,255,14-12-21,7:56
0000002799,255,14-12-21,7:56
0000000907,255,14-12-21,7:57
0000003017,255,14-12-21,7:57
0000000577,255,14-12-21,7:57
0000006153,255,14-12-21,7:58
0000000792,255,14-12-21,7:58
0000000702,255,14-12-21,7:58
0000006120,255,14-12-21,7:58
0000000709,255,14-12-21,7:59
0000009954,255,14-12-21,7:59
0000000526,255,14-12-21,8:0
0000000852,255,14-12-21,8:0
0000000808,255,14-12-21,8:1
