id,taCode,Date,time
0000005374,3,13-12-21,11:9
0000001420,1,13-12-21,11:29
0000001446,1,13-12-21,11:33
0000005567,1,13-12-21,11:38
0000005461,1,13-12-21,11:38
0000005366,1,13-12-21,11:43
0000001324,1,13-12-21,11:45
0000005530,1,13-12-21,11:46
0000005342,1,13-12-21,11:49
0000001451,1,13-12-21,11:52
0000005533,1,13-12-21,11:54
0000005565,1,13-12-21,11:54
0000001397,1,13-12-21,11:55
0000001376,1,13-12-21,11:58
0000005504,1,13-12-21,11:59
0000009029,3,13-12-21,12:0
0000005385,3,13-12-21,12:0
0000000649,3,13-12-21,12:0
0000001448,3,13-12-21,12:0
0000005371,3,13-12-21,12:0
0000001363,3,13-12-21,12:0
0000005368,3,13-12-21,12:0
0000001268,3,13-12-21,12:0
0000001403,3,13-12-21,12:0
0000001454,3,13-12-21,12:0
0000009028,3,13-12-21,12:1
0000001461,3,13-12-21,12:1
0000009032,3,13-12-21,12:1
0000005564,1,13-12-21,12:1
0000001311,3,13-12-21,12:1
0000005569,3,13-12-21,12:1
0000009034,3,13-12-21,12:1
0000001459,3,13-12-21,12:1
0000001269,1,13-12-21,12:2
0000005241,3,13-12-21,12:2
0000001366,3,13-12-21,12:2
0000005150,3,13-12-21,12:2
0000005528,3,13-12-21,12:3
0000001425,3,13-12-21,12:3
0000001357,3,13-12-21,12:3
0000009061,3,13-12-21,12:4
0000001455,3,13-12-21,12:6
0000005535,3,13-12-21,12:7
0000005462,3,13-12-21,12:9
0000001395,3,13-12-21,12:9
0000005559,3,13-12-21,12:11
0000005478,3,13-12-21,12:11
0000005478,3,13-12-21,12:19
0000001449,3,13-12-21,12:20
0000008025,3,13-12-21,12:30
0000005474,3,13-12-21,13:0
0000000651,3,13-12-21,13:0
0000009026,3,13-12-21,13:0
0000005479,3,13-12-21,13:1
0000005111,3,13-12-21,13:2
0000009040,3,13-12-21,13:19
0000001356,3,13-12-21,14:0
0000001377,3,13-12-21,14:0
0000001187,3,13-12-21,14:0
0000009020,3,13-12-21,14:0
0000009021,3,13-12-21,14:0
0000001119,3,13-12-21,14:1
0000001185,3,13-12-21,14:5
0000001286,3,13-12-21,14:6
0000009017,3,13-12-21,14:7
0000001375,3,13-12-21,14:30
0000001426,3,13-12-21,14:30
0000005560,3,13-12-21,14:30
0000005522,3,13-12-21,14:30
0000005544,3,13-12-21,14:30
0000001336,3,13-12-21,14:30
0000001414,3,13-12-21,14:30
0000000849,3,13-12-21,14:30
0000001415,3,13-12-21,14:30
0000005006,3,13-12-21,14:30
0000001302,3,13-12-21,14:30
0000001303,3,13-12-21,14:31
0000001019,3,13-12-21,14:31
0000009078,3,13-12-21,14:31
0000009059,3,13-12-21,14:31
0000009065,3,13-12-21,14:31
0000009071,3,13-12-21,14:31
0000009067,3,13-12-21,14:31
0000009072,3,13-12-21,14:31
0000009060,3,13-12-21,14:31
0000009062,3,13-12-21,14:32
0000009063,3,13-12-21,14:32
0000009069,3,13-12-21,14:32
0000009077,3,13-12-21,14:32
0000009073,3,13-12-21,14:32
0000001434,3,13-12-21,14:32
0000009075,3,13-12-21,14:32
0000005554,3,13-12-21,14:33
0000009076,3,13-12-21,14:33
0000009080,3,13-12-21,14:33
