id,taCode,Date,time
0000000550,1,19-11-21,11:33
0000001396,1,19-11-21,11:33
0000005550,1,19-11-21,11:40
0000001351,1,19-11-21,11:41
0000005563,1,19-11-21,11:46
0000005539,1,19-11-21,11:47
0000005347,1,19-11-21,11:48
0000005565,1,19-11-21,11:49
0000008015,1,19-11-21,11:56
0000001225,3,19-11-21,11:58
0000001406,3,19-11-21,12:0
0000005016,3,19-11-21,12:0
0000005455,3,19-11-21,12:0
0000005373,3,19-11-21,12:0
0000009039,3,19-11-21,12:0
0000001345,1,19-11-21,12:0
0000001443,3,19-11-21,12:0
0000009014,3,19-11-21,12:1
0000009031,3,19-11-21,12:1
0000009025,3,19-11-21,12:1
0000009013,3,19-11-21,12:1
0000009030,3,19-11-21,12:1
0000001421,3,19-11-21,12:1
0000009023,3,19-11-21,12:1
0000005547,3,19-11-21,12:1
0000005498,3,19-11-21,12:1
0000009027,3,19-11-21,12:1
0000009029,3,19-11-21,12:2
0000008030,1,19-11-21,12:2
0000009018,3,19-11-21,12:3
0000009028,3,19-11-21,12:3
0000009037,3,19-11-21,12:3
0000001354,3,19-11-21,12:6
0000005160,3,19-11-21,12:6
0000005465,3,19-11-21,12:7
0000001460,3,19-11-21,12:7
0000001460,3,19-11-21,12:8
0000005366,3,19-11-21,12:9
0000005131,3,19-11-21,12:9
0000005543,3,19-11-21,12:9
0000001409,3,19-11-21,12:16
0000008017,3,19-11-21,12:30
0000005447,3,19-11-21,12:30
0000001392,3,19-11-21,12:32
0000009004,3,19-11-21,12:32
0000009009,3,19-11-21,12:35
0000009007,3,19-11-21,12:35
0000009010,3,19-11-21,12:35
0000009006,3,19-11-21,12:35
0000005568,3,19-11-21,12:35
0000009022,3,19-11-21,12:50
0000009051,3,19-11-21,12:55
0000009052,3,19-11-21,12:58
0000009054,3,19-11-21,13:0
0000005475,3,19-11-21,13:14
0000009015,3,19-11-21,14:4
0000009019,3,19-11-21,14:7
0000009033,3,19-11-21,14:7
0000001327,3,19-11-21,14:18
0000001355,3,19-11-21,14:18
0000005557,3,19-11-21,14:30
0000001431,3,19-11-21,14:30
0000001452,3,19-11-21,14:30
0000008038,3,19-11-21,14:30
0000009046,3,19-11-21,14:30
0000005440,3,19-11-21,14:30
0000008020,3,19-11-21,14:31
0000001401,3,19-11-21,14:31
0000008016,3,19-11-21,14:31
0000008034,3,19-11-21,14:31
0000005545,3,19-11-21,14:31
0000008040,3,19-11-21,14:31
0000001436,3,19-11-21,14:31
