id,taCode,Date,time
0000000928,255,14-12-21,16:1
0000000927,255,14-12-21,16:2
0000000855,255,14-12-21,16:2
0000000929,255,14-12-21,16:2
0000000896,255,14-12-21,16:6
0000006144,255,14-12-21,16:6
0000006129,255,14-12-21,16:7
0000006129,255,14-12-21,16:7
0000006150,255,14-12-21,16:8
0000006123,255,14-12-21,16:8
0000000901,255,14-12-21,16:11
0000000029,255,14-12-21,16:12
0000000792,255,14-12-21,16:16
0000000783,255,14-12-21,16:23
0000000582,255,14-12-21,16:24
0000000366,255,14-12-21,16:29
0000000905,255,14-12-21,16:32
0000000919,255,14-12-21,17:27
0000000687,255,14-12-21,17:53
0000000917,255,14-12-21,18:54
0000000916,255,14-12-21,20:8
0000000918,255,14-12-21,20:9
0000006144,255,15-12-21,7:2
0000000278,255,15-12-21,7:23
0000000929,255,15-12-21,7:26
0000000928,255,15-12-21,7:32
0000000121,255,15-12-21,7:45
0000006123,255,15-12-21,8:0
0000000783,255,15-12-21,16:28
0000006150,255,15-12-21,17:22
0000000917,255,15-12-21,17:55
0000000916,255,15-12-21,18:18
0000000918,255,15-12-21,19:4
0000000278,255,16-12-21,7:21
0000000929,255,16-12-21,7:24
0000000928,255,16-12-21,7:34
0000000801,255,16-12-21,7:54
0000000783,255,16-12-21,7:58
0000006168,255,16-12-21,8:3
0000000917,255,16-12-21,8:14
0000000919,255,16-12-21,12:5
0000000599,255,16-12-21,15:0
0000000764,255,16-12-21,15:5
0000000758,255,16-12-21,15:5
0000000363,255,16-12-21,15:32
0000000278,255,16-12-21,16:0
0000006135,255,16-12-21,16:0
0000000928,255,16-12-21,16:1
0000000929,255,16-12-21,16:1
0000000121,255,16-12-21,16:2
0000000245,255,16-12-21,16:2
0000006144,255,16-12-21,16:4
0000000809,255,16-12-21,16:4
0000000896,255,16-12-21,16:4
0000006142,255,16-12-21,16:5
0000006129,255,16-12-21,16:6
0000000855,255,16-12-21,16:6
0000006147,255,16-12-21,16:8
0000000582,255,16-12-21,16:16
0000006123,255,16-12-21,16:25
0000000029,255,16-12-21,16:26
0000000783,255,16-12-21,16:51
0000000734,255,16-12-21,17:3
0000000771,255,16-12-21,17:13
0000000917,255,16-12-21,18:11
0000000278,255,17-12-21,7:18
0000000929,255,17-12-21,7:21
0000000928,255,17-12-21,7:34
0000000801,255,17-12-21,7:44
0000000783,255,17-12-21,7:52
0000000927,255,17-12-21,7:55
0000000917,255,17-12-21,8:14
