id,taCode,Date,time
0000003093,3,14-12-21,15:1
0000002566,3,14-12-21,15:2
0000002983,0,14-12-21,17:0
0000000813,7,14-12-21,17:1
0000003093,1,15-12-21,6:58
0000002983,0,15-12-21,8:41
0000000813,1,15-12-21,8:50
0000002566,3,15-12-21,15:0
0000003093,3,15-12-21,15:0
0000002983,0,15-12-21,17:0
0000000813,3,15-12-21,17:0
0000003093,1,16-12-21,7:8
0000002983,0,16-12-21,8:50
0000000813,1,16-12-21,8:54
0000003093,3,16-12-21,15:0
0000002566,3,16-12-21,15:0
0000002983,0,16-12-21,17:0
0000000813,3,16-12-21,17:2
0000003093,1,17-12-21,7:9
0000002983,0,17-12-21,8:51
0000000813,1,17-12-21,9:10
